Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
ERR4783180_1	(151, 1075259.0)																																											
ERR4783180_2	(151, 1075259.0)																																											
ERR4783186_1	(151, 894392.0)																																											
ERR4783186_2	(151, 894392.0)																																											
ERR4783188_1	(151, 1138448.0)																																											
ERR4783188_2	(151, 1138448.0)																																											
ERR4783194_1	(151, 1047435.0)																																											
ERR4783194_2	(151, 1047435.0)																																											
ERR4783195_1	(151, 861444.0)																																											
ERR4783195_2	(151, 861444.0)																																											
ERR4783200_1	(151, 841736.0)																																											
ERR4783200_2	(151, 841736.0)																																											
ERR4783203_1	(151, 996118.0)																																											
ERR4783203_2	(151, 996118.0)																																											
ERR4783208_1	(151, 854825.0)																																											
ERR4783208_2	(151, 854825.0)																																											
ERR4783214_1	(151, 946386.0)																																											
ERR4783214_2	(151, 946386.0)																																											
ERR4783216_1	(151, 1002628.0)																																											
ERR4783216_2	(151, 1002628.0)																																											
ERR4783222_1	(151, 1042680.0)																																											
ERR4783222_2	(151, 1042680.0)																																											
ERR4783223_1	(151, 905770.0)																																											
ERR4783223_2	(151, 905770.0)																																											
ERR4783228_1	(151, 823747.0)																																											
ERR4783228_2	(151, 823747.0)																																											
ERR4783231_1	(151, 1059020.0)																																											
ERR4783231_2	(151, 1059020.0)																																											
ERR4783239_1	(151, 842795.0)																																											
ERR4783239_2	(151, 842795.0)																																											
ERR4783244_1	(151, 953091.0)																																											
ERR4783244_2	(151, 953091.0)																																											
ERR4783250_1	(151, 1025484.0)																																											
ERR4783250_2	(151, 1025484.0)																																											
ERR4783252_1	(151, 946870.0)																																											
ERR4783252_2	(151, 946870.0)																																											
ERR4783258_1	(151, 983900.0)																																											
ERR4783258_2	(151, 983900.0)																																											
ERR4783259_1	(151, 858879.0)																																											
ERR4783259_2	(151, 858879.0)																																											
ERR4783264_1	(151, 1013768.0)																																											
ERR4783264_2	(151, 1013768.0)																																											
ERR4783385_1	(151, 927619.0)																																											
ERR4783385_2	(151, 927619.0)																																											
ERR4783387_1	(151, 1070808.0)																																											
ERR4783387_2	(151, 1070808.0)																																											
ERR4783391_1	(151, 1017499.0)																																											
ERR4783391_2	(151, 1017499.0)																																											
ERR4783394_1	(151, 1054859.0)																																											
ERR4783394_2	(151, 1054859.0)																																											
ERR4783401_1	(151, 1076214.0)																																											
ERR4783401_2	(151, 1076214.0)																																											
ERR4783411_1	(151, 1025912.0)																																											
ERR4783411_2	(151, 1025912.0)																																											
ERR4783413_1	(151, 953010.0)																																											
ERR4783413_2	(151, 953010.0)																																											
ERR4783415_1	(151, 980713.0)																																											
ERR4783415_2	(151, 980713.0)																																											
ERR4783417_1	(151, 1236848.0)																																											
ERR4783417_2	(151, 1236848.0)																																											
ERR4783419_1	(151, 1111206.0)																																											
ERR4783419_2	(151, 1111206.0)																																											
ERR4783518_1	(151, 1249048.0)																																											
ERR4783518_2	(151, 1249048.0)																																											
ERR4919979_1	(30, 741.0)	(40, 1773.0)	(50, 2420.0)	(60, 2730.0)	(70, 3142.0)	(80, 3450.0)	(90, 3801.0)	(100, 4128.0)	(110, 4519.0)	(120, 4986.0)	(130, 5320.0)	(140, 5837.0)	(150, 6372.0)	(160, 6993.0)	(170, 7640.0)	(180, 8413.0)	(190, 9050.0)	(200, 9613.0)	(210, 10611.0)	(220, 11234.0)	(230, 12092.0)	(240, 12977.0)	(250, 13510.0)	(260, 14398.0)	(270, 14837.0)	(280, 15394.0)	(290, 36831.0)	(300, 279954.0)																
ERR4919979_2	(30, 745.0)	(40, 1790.0)	(50, 2441.0)	(60, 2742.0)	(70, 3151.0)	(80, 3459.0)	(90, 3810.0)	(100, 4134.0)	(110, 4529.0)	(120, 4989.0)	(130, 5327.0)	(140, 5829.0)	(150, 6382.0)	(160, 6987.0)	(170, 7648.0)	(180, 8383.0)	(190, 9023.0)	(200, 9566.0)	(210, 10545.0)	(220, 11110.0)	(230, 11832.0)	(240, 12603.0)	(250, 13066.0)	(260, 13687.0)	(270, 13801.0)	(280, 14117.0)	(290, 33214.0)	(300, 287856.0)																
ERR4919980_1	(30, 381.0)	(40, 877.0)	(50, 1237.0)	(60, 1508.0)	(70, 1669.0)	(80, 1927.0)	(90, 2153.0)	(100, 2378.0)	(110, 2615.0)	(120, 2833.0)	(130, 3088.0)	(140, 3502.0)	(150, 3690.0)	(160, 4074.0)	(170, 4384.0)	(180, 4744.0)	(190, 5342.0)	(200, 5811.0)	(210, 6214.0)	(220, 6848.0)	(230, 7038.0)	(240, 7731.0)	(250, 8331.0)	(260, 8811.0)	(270, 9400.0)	(280, 9964.0)	(290, 33426.0)	(300, 305892.0)																
ERR4919980_2	(30, 383.0)	(40, 880.0)	(50, 1240.0)	(60, 1533.0)	(70, 1676.0)	(80, 1952.0)	(90, 2168.0)	(100, 2393.0)	(110, 2635.0)	(120, 2848.0)	(130, 3113.0)	(140, 3537.0)	(150, 3700.0)	(160, 4093.0)	(170, 4388.0)	(180, 4731.0)	(190, 5316.0)	(200, 5776.0)	(210, 6138.0)	(220, 6694.0)	(230, 6781.0)	(240, 7348.0)	(250, 7707.0)	(260, 7937.0)	(270, 8143.0)	(280, 8227.0)	(290, 28297.0)	(300, 316234.0)																
ERR4919981_1	(30, 390.0)	(40, 904.0)	(50, 1336.0)	(60, 1615.0)	(70, 1864.0)	(80, 2192.0)	(90, 2597.0)	(100, 2875.0)	(110, 3299.0)	(120, 3641.0)	(130, 4082.0)	(140, 4506.0)	(150, 4951.0)	(160, 5791.0)	(170, 6433.0)	(180, 7080.0)	(190, 7796.0)	(200, 8608.0)	(210, 9312.0)	(220, 10249.0)	(230, 11226.0)	(240, 12386.0)	(250, 12671.0)	(260, 13635.0)	(270, 14180.0)	(280, 14926.0)	(290, 37777.0)	(300, 301748.0)																
ERR4919981_2	(30, 396.0)	(40, 910.0)	(50, 1344.0)	(60, 1627.0)	(70, 1874.0)	(80, 2211.0)	(90, 2617.0)	(100, 2882.0)	(110, 3312.0)	(120, 3662.0)	(130, 4096.0)	(140, 4530.0)	(150, 4968.0)	(160, 5803.0)	(170, 6452.0)	(180, 7061.0)	(190, 7759.0)	(200, 8542.0)	(210, 9180.0)	(220, 10000.0)	(230, 10826.0)	(240, 11731.0)	(250, 11743.0)	(260, 12357.0)	(270, 12172.0)	(280, 12359.0)	(290, 32071.0)	(300, 315585.0)																
