Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR10783123_2	(1.0, 93.7794871060864)	(2.0, 5.562468286026543)	(3.0, 0.47438860823511575)	(4.0, 0.0943770842067201)	(5.0, 0.040690616448385376)	(6.0, 0.02735123818012106)	(7.0, 0.008536539696995714)	(8.0, 0.003215234891103954)	(9.0, 0.0)	('>10', 0.009485286228621227)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783128_1	(1.0, 94.95648622793857)	(2.0, 4.679311133858034)	(3.0, 0.2972163439059265)	(4.0, 0.043379850701670504)	(5.0, 0.006754246222197858)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.002558429794599299)	('>10', 0.014293767579000402)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783128_2	(1.0, 91.62603084113444)	(2.0, 5.072309737960784)	(3.0, 0.3607356335864194)	(4.0, 0.04118541233403848)	(5.0, 0.018323299309261534)	(6.0, 0.02246173158780305)	(7.0, 0.00835165654582062)	(8.0, 0.009251473405183591)	(9.0, 0.007636488775087136)	('>10', 0.1181265069682268)	('>50', 0.0)	('>100', 0.04123044776027959)	('>500', 0.0)	('>1k', 0.0)	('>5k', 2.6743567706326807)	('>10k+', 0.0)
ERR10783132_1	(1.0, 90.56985948662025)	(2.0, 6.7953281247687665)	(3.0, 0.680128709103585)	(4.0, 0.15169800184503163)	(5.0, 0.06368805869052135)	(6.0, 0.0395538941529878)	(7.0, 0.027566187070731468)	(8.0, 0.01869288558140498)	(9.0, 0.014146839201521379)	('>10', 0.07450675988831094)	('>50', 0.0)	('>100', 0.03630112975131776)	('>500', 0.0)	('>1k', 0.0)	('>5k', 1.5285299233255403)	('>10k+', 0.0)
ERR10783132_2	(1.0, 92.98341133552788)	(2.0, 6.207499824114055)	(3.0, 0.6149643874618078)	(4.0, 0.09705865596212868)	(5.0, 0.05383197068139548)	(6.0, 0.022208917703582645)	(7.0, 0.0068943162367202816)	(8.0, 0.007465114477324086)	(9.0, 0.002014103490315883)	('>10', 0.004651374344790775)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783138_1	(1.0, 86.73785374024293)	(2.0, 4.551530737013287)	(3.0, 0.5506624676000775)	(4.0, 0.1593363155425701)	(5.0, 0.08866037494609394)	(6.0, 0.061731182676288604)	(7.0, 0.05397076495681146)	(8.0, 0.028990073170592302)	(9.0, 0.032472115752239794)	('>10', 0.45141470132068157)	('>50', 0.13913726842441726)	('>100', 0.15628025565149445)	('>500', 0.0)	('>1k', 0.5968151599752224)	('>5k', 0.0)	('>10k+', 6.391144842727314)
ERR10783138_2	(1.0, 94.80955812587612)	(2.0, 4.051050493934508)	(3.0, 0.4563913249172676)	(4.0, 0.14895242717570323)	(5.0, 0.06004173616041767)	(6.0, 0.037356410982307714)	(7.0, 0.014253355607223283)	(8.0, 0.0032215690243391146)	(9.0, 0.0072005163166840745)	('>10', 0.09665544784742791)	('>50', 0.055854172731505475)	('>100', 0.04753546615447274)	('>500', 0.21192895327202432)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783144_1	(1.0, 81.27185727952173)	(2.0, 7.2599074347662595)	(3.0, 0.7194437149058139)	(4.0, 0.10020480078137067)	(5.0, 0.03296422564240358)	(6.0, 0.017878951767994148)	(7.0, 0.017847878613610955)	(8.0, 0.006414770969663771)	(9.0, 0.015517568926771544)	('>10', 0.34903322045282137)	('>50', 0.19976902834840288)	('>100', 0.22780678671309096)	('>500', 0.0)	('>1k', 0.3646501641861995)	('>5k', 0.0)	('>10k+', 9.41670417440386)
ERR10783144_2	(1.0, 92.38850255368783)	(2.0, 6.771190730030625)	(3.0, 0.6413842061489577)	(4.0, 0.07723127577735918)	(5.0, 0.02595748575891511)	(6.0, 0.016176397690074045)	(7.0, 0.0015791412427734724)	(8.0, 0.005075112487706143)	(9.0, 0.001808096606555871)	('>10', 0.023951439119290947)	('>50', 0.013537847037983653)	('>100', 0.03360571441193589)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783153_1	(1.0, 92.53625298931402)	(2.0, 6.5107276469704605)	(3.0, 0.6281109604339057)	(4.0, 0.10427133041476305)	(5.0, 0.04944578144083309)	(6.0, 0.026562038427689682)	(7.0, 0.01955001149044548)	(8.0, 0.008587475527168249)	(9.0, 0.004691268731652534)	('>10', 0.03937793236683988)	('>50', 0.02079459783747821)	('>100', 0.05162796704477348)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
